examine,id,members,lowalch,limit,value,highalch,icon,name,high,highTime,low,lowTime
"A set containing a full helm, platebody, legs and kiteshield.",12996,False,1800.0,8.0,4500.0,2700.0,Black gold-trimmed set (lg).png,Black gold-trimmed set (lg),370000.0,1789648788.0,333633.0,1789640225.0
"A set containing a full helm, platebody, skirt and kiteshield.",12998,False,1800.0,8.0,4500.0,2700.0,Black gold-trimmed set (sk).png,Black gold-trimmed set (sk),348577.0,1789621581.0,348577.0,1789627214.0
A black halberd.,3196,True,768.0,125.0,1920.0,1152.0,Black halberd.png,Black halberd,6588.0,1789512382.0,2.0,1789649897.0
A minimalist's hat.,2647,True,16.0,4.0,40.0,24.0,Black headband.png,Black headband,2502.0,1789651421.0,1500.0,1789646535.0
A black helmet with a heraldic design.,10306,False,422.0,70.0,1056.0,633.0,Black helm (h1).png,Black helm (h1),4956.0,1789531786.0,4750.0,1789652347.0
A black helmet with a heraldic design.,10308,False,422.0,70.0,1056.0,633.0,Black helm (h2).png,Black helm (h2),4801.0,1789637331.0,4750.0,1789647618.0
A black helmet with a heraldic design.,10310,False,422.0,70.0,1056.0,633.0,Black helm (h3).png,Black helm (h3),2000.0,1789619101.0,1500.0,1789654022.0
A black helmet with a heraldic design.,10312,False,422.0,70.0,1056.0,633.0,Black helm (h4).png,Black helm (h4),3582.0,1789630670.0,1500.0,1789644073.0
A black helmet with a heraldic design.,10314,False,422.0,70.0,1056.0,633.0,Black helm (h5).png,Black helm (h5),5759.0,1789594914.0,2222.0,1789649235.0
A large metal shield.,1195,False,652.0,125.0,1632.0,979.0,Black kiteshield.png,Black kiteshield,960.0,1789652941.0,600.0,1789654312.0
Black kiteshield with gold trim.,2597,False,652.0,8.0,1632.0,979.0,Black kiteshield (g).png,Black kiteshield (g),101187.0,1789649252.0,100155.0,1789649185.0
Black kiteshield with trim.,2589,False,652.0,8.0,1632.0,979.0,Black kiteshield (t).png,Black kiteshield (t),9500.0,1789631078.0,7191.0,1789649145.0
A finely balanced throwing knife.,869,True,7.0,7000.0,19.0,11.0,Black knife.png,Black knife,38.0,1789653828.0,37.0,1789653602.0
A finely balanced throwing knife.,874,True,7.0,7000.0,18.0,10.0,Black knife(p).png,Black knife(p),99000.0,1789486326.0,19436.0,1789510743.0
A finely balanced throwing knife.,5658,True,7.0,7000.0,18.0,10.0,Black knife(p+).png,Black knife(p+),56983.0,1789431197.0,100000.0,1788755401.0
A finely balanced throwing knife.,5665,True,7.0,7000.0,18.0,10.0,Black knife(p++).png,Black knife(p++),8000.0,1788925381.0,1225.0,1789520846.0
"Try as they will, and try as they might, who steals me gold won't live through the night.",20246,True,2000.0,4.0,5000.0,3000.0,Black leprechaun hat.png,Black leprechaun hat,4000.0,1789650768.0,4000.0,1789651232.0
Perhaps someone can do something with this.,25448,True,1280.0,8.0,3200.0,1920.0,Black locks.png,Black locks,1584.0,1789650409.0,1555.0,1789633769.0
A razor sharp longsword.,1297,False,384.0,125.0,960.0,576.0,Black longsword.png,Black longsword,295.0,1789654180.0,267.0,1789651854.0
A spiky mace.,1426,False,172.0,125.0,432.0,259.0,Black mace.png,Black mace,810.0,1789652477.0,810.0,1789653317.0
An inert-seeming cave horror mask.,8921,True,1200.0,70.0,3000.0,1800.0,Black mask.png,Black mask,951510.0,1789653821.0,915156.0,1789653215.0
A magic cave horror mask.,8901,True,1200.0,70.0,3000.0,1800.0,Black mask (10).png,Black mask (10),920649.0,1789654042.0,891401.0,1789654271.0
A medium sized helmet.,1151,False,230.0,125.0,576.0,345.0,Black med helm.png,Black med helm,243.0,1789652719.0,190.0,1789651618.0
Keeps things in place fairly permanently.,4821,True,4.0,13000.0,12.0,7.0,Black nails.png,Black nails,2346.0,1789628890.0,2000.0,1789653617.0
Used for mining.,12297,False,58.0,4.0,145.0,87.0,Black pickaxe.png,Black pickaxe,3000.0,1789654206.0,2215.0,1789654242.0
Provides excellent protection.,1125,False,1536.0,125.0,3840.0,2304.0,Black platebody.png,Black platebody,2286.0,1789654192.0,2400.0,1789654397.0
Black platebody with gold trim.,2591,False,1536.0,8.0,3840.0,2304.0,Black platebody (g).png,Black platebody (g),121485.0,1789651855.0,115700.0,1789654342.0
Black plate body with a heraldic design.,23366,False,1536.0,8.0,3840.0,2304.0,Black platebody (h1).png,Black platebody (h1),2054.0,1789537570.0,2057.0,1789622986.0
Black plate body with a heraldic design.,23369,False,1536.0,8.0,3840.0,2304.0,Black platebody (h2).png,Black platebody (h2),400000.0,1789444627.0,2032.0,1789631087.0
Black plate body with a heraldic design.,23372,False,1536.0,8.0,3840.0,2304.0,Black platebody (h3).png,Black platebody (h3),1647.0,1789622804.0,943.0,1789654031.0
Black plate body with a heraldic design.,23375,False,1536.0,8.0,3840.0,2304.0,Black platebody (h4).png,Black platebody (h4),3006.0,1789653026.0,3006.0,1789647130.0
Black plate body with a heraldic design.,23378,False,1536.0,8.0,3840.0,2304.0,Black platebody (h5).png,Black platebody (h5),1799.0,1789640857.0,1799.0,1789632193.0
Black platebody with trim.,2583,False,1536.0,8.0,3840.0,2304.0,Black platebody (t).png,Black platebody (t),10506.0,1789630746.0,6000.0,1789649243.0
"Big, black and heavy looking.",1077,False,768.0,125.0,1920.0,1152.0,Black platelegs.png,Black platelegs,1397.0,1789654175.0,1243.0,1789654230.0
Black platelegs with gold trim.,2593,False,768.0,8.0,1920.0,1152.0,Black platelegs (g).png,Black platelegs (g),32198.0,1789653119.0,24596.0,1789649115.0
Black platelegs with trim.,2585,False,768.0,8.0,1920.0,1152.0,Black platelegs (t).png,Black platelegs (t),9895.0,1789631048.0,6005.0,1789650731.0
"Big, black and heavy looking.",1089,False,768.0,125.0,1920.0,1152.0,Black plateskirt.png,Black plateskirt,6650.0,1789649629.0,2040.0,1789654223.0
Black plateskirt with gold trim.,3473,False,768.0,8.0,1920.0,1152.0,Black plateskirt (g).png,Black plateskirt (g),2600.0,1789651841.0,111.0,1789649275.0
Black plateskirt with trim.,3472,False,768.0,8.0,1920.0,1152.0,Black plateskirt (t).png,Black plateskirt (t),1331.0,1789650225.0,1331.0,1789644040.0
I can do magic better in this.,581,False,5.0,125.0,13.0,7.0,Black robe.png,Black robe,658.0,1789653416.0,615.0,1789653965.0
Slightly slimy and somewhat menacing.,10148,True,80.0,125.0,200.0,120.0,Black salamander.png,Black salamander,471.0,1789654278.0,505.0,1789651030.0
"A vicious, curved sword.",1327,False,307.0,125.0,768.0,460.0,Black scimitar.png,Black scimitar,1440.0,1789654126.0,1402.0,1789654214.0
"A set containing a full helm, platebody, legs and kiteshield.",12988,False,1800.0,8.0,4500.0,2700.0,Black set (lg).png,Black set (lg),5300.0,1789654244.0,5186.0,1789613019.0
"A set containing a full helm, platebody, skirt and kiteshield.",12990,False,1800.0,8.0,4500.0,2700.0,Black set (sk).png,Black set (sk),7333.0,1789649284.0,7398.0,1789282090.0
A shield with a heraldic design,7332,False,652.0,70.0,1632.0,979.0,Black shield (h1).png,Black shield (h1),1740.0,1789628626.0,1728.0,1789649087.0
A shield with a heraldic design,7338,False,652.0,70.0,1632.0,979.0,Black shield (h2).png,Black shield (h2),99000.0,1789444532.0,1850.0,1789649158.0
A shield with a heraldic design,7344,False,652.0,70.0,1632.0,979.0,Black shield (h3).png,Black shield (h3),2143.0,1789622024.0,2070.0,1789653086.0
A shield with a heraldic design,7350,False,652.0,70.0,1632.0,979.0,Black shield (h4).png,Black shield (h4),14441.0,1789573193.0,1915.0,1789652918.0
A shield with a heraldic design,7356,False,652.0,70.0,1632.0,979.0,Black shield (h5).png,Black shield (h5),99000.0,1789444539.0,2554.0,1789652827.0
Clothing favoured by women and dark wizards.,1015,False,1.0,150.0,2.0,1.0,Black skirt.png,Black skirt,10.0,1789648792.0,10.0,1789651361.0
Leg covering favoured by women and wizards. With a colourful trim!,12445,False,1.0,4.0,2.0,1.0,Black skirt (g).png,Black skirt (g),33455.0,1789651504.0,24772.0,1789653959.0
Leg covering favoured by women and wizards. With a colourful trim!,12447,False,1.0,4.0,2.0,1.0,Black skirt (t).png,Black skirt (t),17292.0,1789653560.0,12500.0,1789644979.0
A black tipped spear.,4580,True,260.0,8.0,650.0,390.0,Black spear.png,Black spear,4128.0,1789653974.0,4200.0,1789654359.0
A poisoned black tipped spear.,4582,True,300.0,8.0,750.0,450.0,Black spear(p).png,Black spear(p),5728.0,1789256571.0,10000.0,1755468658.0
A poisoned black tipped spear.,5734,True,300.0,8.0,750.0,450.0,Black spear(p+).png,Black spear(p+),6092.0,1789149586.0,4218.0,1787329413.0
A poisoned black tipped spear.,5736,True,300.0,8.0,750.0,450.0,Black spear(p++).png,Black spear(p++),10047.0,1789589884.0,16361.0,1788491564.0
Vambraces made from 100% real dragonhide. Now with added spikiness.,10085,True,1728.0,125.0,4320.0,2592.0,Black spiky vambraces.png,Black spiky vambraces,5120.0,1789651342.0,3861.0,1789654243.0
A medium square shield.,1179,False,460.0,125.0,1152.0,691.0,Black sq shield.png,Black sq shield,240.0,1789628396.0,442.0,1789653437.0
A razor sharp sword.,1283,False,249.0,125.0,624.0,374.0,Black sword.png,Black sword,944.0,1789654243.0,929.0,1789654434.0
The blackened heart of the Grotesque Guardians.,21730,True,16600.0,5.0,41500.0,24900.0,Black tourmaline core.png,Black tourmaline core,510851.0,1789650689.0,490000.0,1789654370.0
A black toy horse.,2524,False,40.0,150.0,100.0,60.0,Black toy horsey.png,Black toy horsey,993.0,1789652063.0,300.0,1789654410.0
"A set containing a full helm, platebody, legs and kiteshield.",12992,False,1800.0,8.0,4500.0,2700.0,Black trimmed set (lg).png,Black trimmed set (lg),67928.0,1789616701.0,67928.0,1789606010.0
"A set containing a full helm, platebody, skirt and kiteshield.",12994,False,1800.0,8.0,4500.0,2700.0,Black trimmed set (sk).png,Black trimmed set (sk),99977.0,1789627309.0,104975.0,1789227260.0
Pointy shadows.,20266,True,400.0,4.0,1000.0,600.0,Black unicorn mask.png,Black unicorn mask,30000.0,1789629120.0,27913.0,1789651330.0
I don't think it's intended for joinery.,1341,False,392.0,125.0,980.0,588.0,Black warhammer.png,Black warhammer,373.0,1789644082.0,350.0,1789652948.0
There's a black warlock butterfly in here.,10014,True,28.0,125.0,70.0,42.0,Black warlock (item).png,Black warlock (item),199.0,1789638636.0,120.0,1789645321.0
There's a black warlock butterfly in here.,29207,True,28.0,,70.0,42.0,Black warlock mix (1).png,Black warlock mix (1),1785.0,1789400322.0,200.0,1789626222.0
There's a black warlock butterfly in here.,29189,True,28.0,,70.0,42.0,Black warlock mix (2).png,Black warlock mix (2),800.0,1789625059.0,750.0,1789561330.0
"A silly pointed hat, with colourful trim.",12453,False,1.0,4.0,2.0,1.0,Black wizard hat (g).png,Black wizard hat (g),201000.0,1789652492.0,190000.0,1789653005.0
"A silly pointed hat, with colourful trim.",12455,False,1.0,4.0,2.0,1.0,Black wizard hat (t).png,Black wizard hat (t),111000.0,1789652849.0,98042.0,1789652837.0
I can do magic better in this.,12449,False,6.0,4.0,15.0,9.0,Black wizard robe (g).png,Black wizard robe (g),194333.0,1789652508.0,179000.0,1789653007.0
I can do magic better in this.,12451,False,6.0,4.0,15.0,9.0,Black wizard robe (t).png,Black wizard robe (t),85000.0,1789652930.0,73000.0,1789650664.0
A smooth and rich Aldarin Red that's said to flutter on the tongue.,29944,True,120.0,,300.0,180.0,Blackbird red.png,Blackbird red,376.0,1789396415.0,5.0,1789408897.0
A helm worn by blacksmiths.,19988,True,1200.0,125.0,3000.0,1800.0,Blacksmith's helm.png,Blacksmith's helm,37500.0,1789640639.0,25000.0,1789649634.0
A magical elven sword.,23997,True,2000000.0,8.0,5000000.0,3000000.0,Blade of Saeldor (inactive).png,Blade of Saeldor (inactive),111000000.0,1789649652.0,108466710.0,1789653155.0
"A large bark coloured blamish snail shell, looks protective.",3353,True,60.0,13000.0,150.0,90.0,Blamish bark shell.png,Blamish bark shell,3963.0,1789652803.0,1124.0,1789608681.0
"A large blue coloured blamish snail shell, looks protective.",3361,True,60.0,13000.0,150.0,90.0,Blamish blue shell (pointed).png,Blamish blue shell (pointed),4696.0,1789651229.0,2499.0,1789618227.0
"A large blue coloured blamish snail shell, looks protective.",3351,True,60.0,13000.0,150.0,90.0,Blamish blue shell (round).png,Blamish blue shell (round),2574.0,1789653538.0,2543.0,1789652832.0
"A large 'Myre' coloured blamish snail shell, looks protective.",3355,True,60.0,13000.0,150.0,90.0,Blamish myre shell (pointed).png,Blamish myre shell (pointed),145.0,1789649696.0,3.0,1789612361.0
"A large 'Myre' coloured blamish snail shell, looks protective.",3345,True,60.0,13000.0,150.0,90.0,Blamish myre shell (round).png,Blamish myre shell (round),243.0,1789652945.0,226.0,1789635247.0
"A large ochre coloured blamish snail shell, looks protective.",3359,True,60.0,13000.0,150.0,90.0,Blamish ochre shell (pointed).png,Blamish ochre shell (pointed),1.0,1789586274.0,15000.0,1789001368.0
"A large ochre coloured blamish snail shell, looks protective.",3349,True,60.0,13000.0,150.0,90.0,Blamish ochre shell (round).png,Blamish ochre shell (round),669.0,1789631589.0,213.0,1789645551.0
"A large red and black blamish snail shell, looks protective.",3357,True,60.0,13000.0,150.0,90.0,Blamish red shell (pointed).png,Blamish red shell (pointed),769.0,1789529485.0,2024.0,1789608400.0
"A large red and black blamish snail shell, looks protective.",3347,True,60.0,13000.0,150.0,90.0,Blamish red shell (round).png,Blamish red shell (round),7000.0,1789584355.0,305.0,1789634030.0
An ethereal shield that has been blessed with holy powers.,12831,True,480000.0,8.0,1200000.0,720000.0,Blessed spirit shield.png,Blessed spirit shield,1013688.0,1789653173.0,986666.0,1789651974.0
"Enough power for any Ice spell, blighted so it can be used only in the Wilderness.",24607,True,14.0,15000.0,35.0,21.0,Blighted ancient ice sack.png,Blighted ancient ice sack,500.0,1789654249.0,490.0,1789654425.0
"An unappetising fish, now blighted so it can be eaten only in the Wilderness.",24592,True,20.0,10000.0,50.0,30.0,Blighted anglerfish.png,Blighted anglerfish,95.0,1789654388.0,94.0,1789654421.0
"Enough power for a Bind, blighted so it can be used only in the Wilderness.",24609,True,1.0,10000.0,1.0,1.0,Blighted bind sack.png,Blighted bind sack,39.0,1774376959.0,15.0,1774376957.0
"Enough power for an Entangle, blighted so it can be used only in the Wilderness.",24613,True,12.0,15000.0,30.0,18.0,Blighted entangle sack.png,Blighted entangle sack,43.0,1789653961.0,42.0,1789654409.0
"A nutritious octopus, now blighted so it can be eaten only in the Wilderness.",24595,True,20.0,10000.0,50.0,30.0,Blighted karambwan.png,Blighted karambwan,49.0,1789654227.0,46.0,1789654275.0
"A rare catch, now blighted so it can be eaten only in the Wilderness.",24589,True,20.0,10000.0,50.0,30.0,Blighted manta ray.png,Blighted manta ray,96.0,1789653346.0,106.0,1789654425.0
"Enough power for a Snare, blighted so it can be used only in the Wilderness.",24611,True,1.0,10000.0,1.0,1.0,Blighted snare sack.png,Blighted snare sack,128.0,1774376964.0,54.0,1774376962.0
"4 doses of super restore potion, blighted so it can be used only in the Wilderness.",24598,True,16.0,2000.0,40.0,24.0,Blighted super restore(4).png,Blighted super restore(4),3097.0,1789654426.0,3019.0,1789654422.0
"Enough power for a Teleblock or a Teleport to Target, blighted so it can be used only in the Wilderness.",24615,True,12.0,10000.0,32.0,19.0,Blighted teleport spell sack.png,Blighted teleport spell sack,60.0,1789653718.0,58.0,1789654365.0
"Enough power for a Vengeance, blighted so it can be used only in the Wilderness.",24621,True,12.0,10000.0,31.0,18.0,Blighted vengeance sack.png,Blighted vengeance sack,73.0,1789654382.0,72.0,1789654331.0
"A set containing a Blood moon helm, Blood moon chestplate, Blood moon tassets and Dual macuahuitl.",31136,True,58000.0,2.0,145000.0,87000.0,Blood Moon armour set.png,Blood Moon armour set,18537698.0,1789654421.0,18517765.0,1789653987.0
The chestplate of the Blood Moon.,29022,True,116004.0,15.0,290010.0,174006.0,Blood Moon chestplate.png,Blood Moon chestplate,4013032.0,1789654068.0,3947530.0,1789653473.0
The chestplate of the Blood Moon.,29067,True,116004.0,15.0,290010.0,174006.0,Blood Moon chestplate (broken).png,Blood Moon chestplate (broken),3093866.0,1789507863.0,3021879.0,1789651390.0
The helm of the Blood Moon.,29028,True,41200.0,15.0,103000.0,61800.0,Blood Moon helm.png,Blood Moon helm,865670.0,1789653321.0,845454.0,1789654406.0
The helm of the Blood Moon.,29073,True,41200.0,15.0,103000.0,61800.0,Blood Moon helm (broken).png,Blood Moon helm (broken),97268.0,1789507802.0,85000.0,1789653907.0
The tassets of the Blood Moon.,29025,True,115964.0,15.0,289910.0,173946.0,Blood Moon tassets.png,Blood Moon tassets,9071923.0,1789653683.0,8853984.0,1789654412.0
The tassets of the Blood Moon.,29070,True,115964.0,15.0,289910.0,173946.0,Blood Moon tassets (broken).png,Blood Moon tassets (broken),8149000.0,1789541387.0,7942522.0,1789651393.0
A blood-filled essence with magical properties.,26390,True,40000.0,500.0,100000.0,60000.0,Blood essence.png,Blood essence,85533.0,1789654024.0,84500.0,1789654403.0
It's literally a pint of blood.,24774,True,1.0,2000.0,2.0,1.0,Blood pint.png,Blood pint,104.0,1789649084.0,80.0,1789650265.0
Used for high level missile spells.,565,True,160.0,25000.0,400.0,240.0,Blood rune.png,Blood rune,344.0,1789654422.0,341.0,1789654432.0
A magical shard filled with a dark power.,24777,True,80000.0,8.0,200000.0,120000.0,Blood shard.png,Blood shard,7771370.0,1789654351.0,7771370.0,1789654227.0
A mysterious power emanates from the talisman...,1450,True,1.0,,4.0,2.0,Blood talisman.png,Blood talisman,94422.0,1789609996.0,72147.0,1789574638.0
A tiara infused with the properties of blood.,5549,True,200.0,,500.0,300.0,Blood tiara.png,Blood tiara,123438.0,1789645005.0,129934.0,1789616816.0
A red and black Snail shell helmet.,3329,True,120.0,150.0,300.0,180.0,Blood'n'tar snelm.png,Blood'n'tar snelm,25000.0,1789447620.0,1000.0,1789647032.0
"A set containing a Bloodbark helm, Bloodbark body, Bloodbark legs, Bloodbark boots and Bloodbark gloves.",31163,True,58000.0,2.0,145000.0,87000.0,Bloodbark armour set.png,Bloodbark armour set,623999.0,1789654367.0,617180.0,1789650008.0
Keeps my chest protected.,25404,True,48000.0,70.0,120000.0,72000.0,Bloodbark body.png,Bloodbark body,207000.0,1789654205.0,200123.0,1789653780.0
Great foot protection.,25410,True,4000.0,,10000.0,6000.0,Bloodbark boots.png,Bloodbark boots,56804.0,1789654231.0,49002.0,1789654344.0
These should protect my hands.,25407,True,4000.0,70.0,10000.0,6000.0,Bloodbark gauntlets.png,Bloodbark gauntlets,43065.0,1789650216.0,41650.0,1789653945.0
A rather interesting smelling helmet.,25413,True,6000.0,,15000.0,9000.0,Bloodbark helm.png,Bloodbark helm,106999.0,1789652639.0,106210.0,1789653236.0
Strong leg protection.,25416,True,32000.0,70.0,80000.0,48000.0,Bloodbark legs.png,Bloodbark legs,222600.0,1789654297.0,217517.0,1789653950.0
A coagulated concoction.,22430,True,4.0,2000.0,10.0,6.0,Bloody bracer.png,Bloody bracer,1579.0,1789613066.0,2311.0,1789338422.0
"A set containing a Blue moon helm, Blue moon chestplate, Blue moon tassets and Blue moon spear.",31139,True,58000.0,2.0,145000.0,87000.0,Blue Moon armour set.png,Blue Moon armour set,6249040.0,1789654395.0,5987654.0,1789652439.0
The chestplate of the Blue Moon.,29013,True,116004.0,15.0,290010.0,174006.0,Blue Moon chestplate.png,Blue Moon chestplate,1429574.0,1789654192.0,1381814.0,1789654375.0
The chestplate of the Blue Moon.,29058,True,116004.0,15.0,290010.0,174006.0,Blue Moon chestplate (broken).png,Blue Moon chestplate (broken),542143.0,1789475753.0,551005.0,1789652782.0
The helm of the Blue Moon.,29019,True,41200.0,15.0,103000.0,61800.0,Blue Moon helm.png,Blue Moon helm,654530.0,1789654177.0,644000.0,1789654372.0
The helm of the Blue Moon.,29064,True,41200.0,15.0,103000.0,61800.0,Blue Moon helm (broken).png,Blue Moon helm (broken),62077.0,1789512577.0,59900.0,1789652815.0
A magical staff of ancient origin...,28988,True,40000.0,15.0,100000.0,60000.0,Blue Moon spear.png,Blue Moon spear,327176.0,1789653415.0,314752.0,1789654340.0
The tassets of the Blue Moon.,29016,True,115964.0,15.0,289910.0,173946.0,Blue Moon tassets.png,Blue Moon tassets,3675459.0,1789654184.0,3624000.0,1789652539.0
The tassets of the Blue Moon.,29061,True,115964.0,15.0,289910.0,173946.0,Blue Moon tassets (broken).png,Blue Moon tassets (broken),3106745.0,1788797354.0,2915000.0,1789650851.0
Parlez-vous francais?,2633,True,32.0,4.0,80.0,48.0,Blue beret.png,Blue beret,4526.0,1789612339.0,6552.0,1789642289.0
Stylish!,7325,True,90.0,4.0,225.0,135.0,Blue boater.png,Blue boater,6743.0,1789651975.0,1000.0,1789628308.0
"They're soft, silky and blue.",630,True,80.0,150.0,200.0,120.0,Blue boots.png,Blue boots,1930.0,1789654398.0,1871.0,1789653951.0
A thick blue cape.,1021,False,12.0,150.0,32.0,19.0,Blue cape.png,Blue cape,298.0,1789653010.0,298.0,1789651385.0
You'll need something to break through that shell.,31674,True,50.0,,125.0,75.0,Blue crab.png,Blue crab,452.0,1789596074.0,390.0,1789651136.0
This looks tricky to eat.,31695,True,60.0,,150.0,90.0,Blue crab meat.png,Blue crab meat,120.0,1789616379.0,342.0,1789156385.0
Made from 100% real dragonhide.,2499,True,3744.0,125.0,9360.0,5616.0,Blue d'hide body.png,Blue d'hide body,5130.0,1789654301.0,4998.0,1789653655.0
Made from 100% real dragonhide. With colourful trim!,7374,True,3744.0,8.0,9360.0,5616.0,Blue d'hide body (g).png,Blue d'hide body (g),9424.0,1789652238.0,5066.0,1789652692.0
Made from 100% real dragonhide. With colourful trim!,7376,True,3744.0,8.0,9360.0,5616.0,Blue d'hide body (t).png,Blue d'hide body (t),4862.0,1789652670.0,4170.0,1789652421.0
Made from 100% real dragonhide.,2493,True,1728.0,125.0,4320.0,2592.0,Blue d'hide chaps.png,Blue d'hide chaps,3000.0,1789654419.0,2200.0,1789654243.0
Made from 100% real dragonhide. With colourful trim!,7382,True,1728.0,8.0,4320.0,2592.0,Blue d'hide chaps (g).png,Blue d'hide chaps (g),10000.0,1789652295.0,2209.0,1789653089.0
Made from 100% real dragonhide. With colourful trim!,7384,True,1728.0,8.0,4320.0,2592.0,Blue d'hide chaps (t).png,Blue d'hide chaps (t),4550.0,1789652570.0,2024.0,1789651303.0
A solid yew shield covered in blue dragon leather.,22278,True,3000.0,125.0,7500.0,4500.0,Blue d'hide shield.png,Blue d'hide shield,4501.0,1789652893.0,4352.0,1789652615.0
Vambraces made from 100% real dragonhide.,2487,True,1200.0,125.0,3000.0,1800.0,Blue d'hide vambraces.png,Blue d'hide vambraces,1329.0,1789654414.0,1286.0,1789654246.0
Paints things blue!,12757,True,1.0,4.0,1.0,1.0,Blue dark bow paint.png,Blue dark bow paint,234536.0,1789565309.0,1516439.0,1789613714.0
It's a piece of prepared blue dragonhide.,2505,True,28.0,13000.0,70.0,42.0,Blue dragon leather.png,Blue dragon leather,2128.0,1789653471.0,2100.0,1789652983.0
Do I look scary?,12520,True,4000.0,4.0,10000.0,6000.0,Blue dragon mask.png,Blue dragon mask,5288.0,1789633570.0,5193.0,1789651814.0
A large shiny scale.,243,True,20.0,13000.0,50.0,30.0,Blue dragon scale.png,Blue dragon scale,12.0,1789654154.0,11.0,1789649697.0
The scaly rough hide from a Blue Dragon.,1751,True,56.0,13000.0,140.0,84.0,Blue dragonhide.png,Blue dragonhide,1796.0,1789653946.0,1800.0,1789654423.0
"A set containing a blue dragonhide body, chaps and vambraces.",12867,True,2000.0,125.0,5000.0,3000.0,Blue dragonhide set.png,Blue dragonhide set,10000.0,1789652834.0,9442.0,1789625006.0
A little bottle of blue dye.,1767,False,2.0,150.0,5.0,3.0,Blue dye.png,Blue dye,385.0,1789654430.0,310.0,1789653607.0
A well made elegant ladies' blue blouse.,10428,True,800.0,4.0,2000.0,1200.0,Blue elegant blouse.png,Blue elegant blouse,32514.0,1789647781.0,29505.0,1789649062.0
A rather elegant pair of men's blue pantaloons.,10410,True,800.0,4.0,2000.0,1200.0,Blue elegant legs.png,Blue elegant legs,34000.0,1789653624.0,8569.0,1789650224.0
A well made elegant men's blue shirt.,10408,True,800.0,4.0,2000.0,1200.0,Blue elegant shirt.png,Blue elegant shirt,5525.0,1789602298.0,6299.0,1789650455.0
A rather elegant blue skirt.,10430,True,800.0,4.0,2000.0,1200.0,Blue elegant skirt.png,Blue elegant skirt,6775.0,1789612170.0,6775.0,1789650008.0
A cool blue feather.,10089,True,6.0,8000.0,16.0,9.0,Blue feather.png,Blue feather,15.0,1789639264.0,15.0,1789651178.0
Makes firelighting a lot easier.,7331,True,6.0,250.0,15.0,9.0,Blue firelighter.png,Blue firelighter,151.0,1789653414.0,85.0,1789654197.0
A posy of flowers.,2464,True,40.0,150.0,100.0,60.0,Blue flowers.png,Blue flowers,70.0,1789652195.0,21.0,1789600939.0
Aaaarrrghhh ... I'm a monster.,1055,False,6.0,5.0,15.0,9.0,Blue halloween mask.png,Blue halloween mask,13675.0,1789634115.0,9971.0,1789652310.0
A silly blue pointed hat.,660,True,64.0,150.0,160.0,96.0,Blue hat.png,Blue hat,582.0,1789648192.0,250.0,1789649021.0
A minimalist's hat.,12301,True,16.0,4.0,40.0,24.0,Blue headband.png,Blue headband,9481.0,1789640429.0,697.0,1789650703.0
A nice hat from a cracker.,1042,False,1.0,5.0,1.0,1.0,Blue partyhat.png,Blue partyhat,24344.0,1789652490.0,22714.0,1789654110.0
Made by Tree Gnomes with a thing for blue.,650,True,72.0,150.0,180.0,108.0,Blue robe bottoms.png,Blue robe bottoms,1.0,1789618950.0,1396.0,1789589484.0
"The ultimate in gnome design, now in blue!",640,True,72.0,150.0,180.0,108.0,Blue robe top.png,Blue robe top,4896.0,1789652808.0,3242.0,1789652375.0
Leg covering favoured by women and wizards.,1011,False,1.0,150.0,2.0,1.0,Blue skirt.png,Blue skirt,40.0,1789652163.0,38.0,1789652374.0
Leg covering favoured by women and wizards. With a colourful trim!,7386,False,1.0,4.0,2.0,1.0,Blue skirt (g).png,Blue skirt (g),27500.0,1789654196.0,24218.0,1789643888.0
Leg covering favoured by women and wizards. With a colourful trim!,7388,False,1.0,4.0,2.0,1.0,Blue skirt (t).png,Blue skirt (t),14250.0,1789650369.0,10000.0,1789642677.0
Vambraces made from 100% real dragonhide. Now with added spikiness.,10081,True,1200.0,125.0,3000.0,1800.0,Blue spiky vambraces.png,Blue spiky vambraces,1918.0,1789603491.0,1827.0,1789518148.0
A silly pointed hat.,579,False,1.0,125.0,2.0,1.0,Blue wizard hat.png,Blue wizard hat,291.0,1789653514.0,291.0,1789653563.0
"A silly pointed hat, with colourful trim.",7394,False,1.0,4.0,2.0,1.0,Blue wizard hat (g).png,Blue wizard hat (g),195998.0,1789654166.0,141357.0,1789649869.0
"A silly pointed hat, with colourful trim.",7396,False,1.0,4.0,2.0,1.0,Blue wizard hat (t).png,Blue wizard hat (t),35158.0,1789650353.0,30145.0,1789653100.0
I can do magic better in this.,577,False,6.0,125.0,15.0,9.0,Blue wizard robe.png,Blue wizard robe,1110.0,1789654178.0,1050.0,1789654364.0
I can do magic better in this.,7390,False,6.0,4.0,15.0,9.0,Blue wizard robe (g).png,Blue wizard robe (g),180000.0,1789654143.0,163839.0,1789644067.0
I can do magic better in this.,7392,False,6.0,4.0,15.0,9.0,Blue wizard robe (t).png,Blue wizard robe (t),32000.0,1789650347.0,24500.0,1789652642.0
Some nicely cooked bluefin.,32344,True,68.0,,170.0,102.0,Bluefin.png,Bluefin,1805.0,1789653510.0,1800.0,1789653433.0
A large Bluegill.,22826,True,1.0,13000.0,3.0,1.0,Bluegill.png,Bluegill,1.0,1789649214.0,1.0,1789653524.0
